Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-07-26,87.66,87.67,86.81,86.92,0,89.27781862637833,87.65350000000001,86.02918137362168,39.844443812612454,87.67,86.81,80.38,90.9,91.74,94.61
2010-07-27,86.91,87.96,86.91,87.82,0,89.2733551999484,87.6505,86.02764480005159,48.259574395177445,87.96,86.91,80.38,90.9,91.74,94.61
2010-07-28,87.82,88.11,87.11,87.2,0,89.2642167950442,87.62950000000001,85.99478320495581,43.72204507738159,88.11,87.11,80.38,90.9,91.74,94.61
2010-07-29,87.2,87.44,86.25,86.36,0,89.29696523719325,87.571,85.84503476280675,38.44759255281106,87.44,86.25,80.38,90.9,91.74,94.61
2010-07-30,86.37,86.71,85.93,86.46,0,89.22977037857203,87.477,85.72422962142798,39.38507233078555,86.71,85.93,80.38,90.9,91.74,94.61
2010-08-01,86.34,86.7,86.32,86.51,0,89.08011542567984,87.369,85.65788457432016,39.87813711033464,86.7,86.32,80.38,90.9,91.74,94.61
2010-08-02,86.52,86.87,86.27,86.37,0,88.92112860079966,87.25699999999999,85.59287139920032,38.92341272356815,86.87,86.27,80.38,90.9,91.74,94.61
2010-08-03,86.38,86.52,85.31,85.38,0,88.70674279322452,87.072,85.43725720677548,32.921208532321856,86.52,85.31,80.38,90.9,91.74,94.61
2010-08-04,85.39,86.44,85.31,86.04,0,88.50368196104523,86.949,85.39431803895476,39.607375006899744,86.44,85.31,80.38,90.9,91.74,94.61
2010-08-05,86.04,86.34,85.7,86.02,0,88.09985703872219,86.8015,85.50314296127782,39.47895627940892,86.34,85.7,80.38,90.9,91.74,94.61
2010-08-06,86.02,86.17,85.01,85.49,0,87.9140908056683,86.6655,85.4169091943317,36.13535005277312,86.17,85.01,80.38,90.9,91.74,94.61
2010-08-08,85.4,85.46,85.29,85.41,0,87.93638822631607,86.5855,85.23461177368392,35.644620448850475,85.46,85.29,80.38,90.9,91.74,94.61
2010-08-09,85.41,86.04,85.4,85.82,0,87.93955452641978,86.548,85.15644547358022,40.131908594664246,86.04,85.4,80.38,90.9,91.74,94.61
2010-08-10,85.82,86.22,85.16,85.34,0,87.96878227467037,86.48249999999999,84.9962177253296,36.888977069721605,86.22,85.16,80.38,90.9,91.74,94.61
