Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-11-29,110.17,111.41,109.84,111.1,0,111.94363838019126,109.249,106.55436161980873,66.76702802549009,111.41,109.84,104.58
2000-11-30,111.09,111.19,110.34,110.57,0,111.99758430094826,109.41749999999999,106.83741569905172,60.486007248843016,111.19,110.34,104.58
2000-12-01,110.56,112.05,110.47,111.29,0,112.13007557563407,109.61600000000001,107.10192442436596,65.26635853509305,112.05,110.47,104.58
2000-12-03,111.29,111.33,110.92,111.17,0,112.21193377392666,109.79599999999998,107.3800662260733,63.87927596564052,111.33,110.92,104.58
2000-12-04,111.18,111.4,110.47,111.14,0,112.28844085773963,109.953,107.61755914226038,63.51584685041196,111.4,110.47,104.58
2000-12-05,111.15,111.22,110.46,110.77,0,112.27053900837032,110.0915,107.91246099162967,59.05343118984283,111.22,110.46,104.58
2000-12-06,110.76,111.06,110.19,110.41,0,112.11794260150722,110.22549999999998,108.33305739849274,55.004228941650354,111.06,110.19,104.58
2000-12-07,110.42,110.87,110.2,110.61,0,111.99896581936817,110.346,108.69303418063184,56.777387311000425,110.87,110.2,104.58
2000-12-08,110.6,111.47,110.5,111.03,0,111.98948243321105,110.45249999999999,108.91551756678892,60.314221575115326,111.47,110.5,104.58
2000-12-10,111.28,111.3,110.8,110.89,0,111.91092772668732,110.55500000000002,109.19907227331272,58.59309210807667,111.3,110.8,104.58
2000-12-11,110.87,111.14,110.58,110.89,0,111.78040659319171,110.655,109.52959340680829,58.59309210807667,111.14,110.58,104.58
2000-12-12,110.88,112.51,110.84,112.48,0,111.96659254010336,110.82650000000001,109.68640745989666,69.90482500000886,112.51,110.84,104.58
2000-12-13,112.49,112.76,112.19,112.66,0,112.28196769570131,110.9625,109.6430323042987,70.87485356392204,112.76,112.19,104.58
2000-12-14,112.67,112.85,111.89,112.58,0,112.51878350318728,111.08699999999999,109.6552164968127,69.7980582520992,112.85,111.89,104.58
2000-12-15,112.59,112.7,112.28,112.61,0,112.71353457141089,111.213,109.7124654285891,69.98223520472703,112.7,112.28,104.58
2000-12-17,112.58,112.67,112.47,112.64,0,112.9141849815804,111.30649999999999,109.69881501841957,70.17808388300878,112.67,112.47,104.58
2000-12-18,112.65,112.77,111.94,112.17,0,112.99876466685363,111.3475,109.69623533314636,63.21901253400628,112.77,111.94,104.58
2000-12-19,112.18,112.87,111.9,112.76,0,113.18265717436715,111.421,109.65934282563286,67.56688928477871,112.87,111.9,104.58
2000-12-20,112.75,113.17,112.44,113.01,0,113.3831819081995,111.547,109.71081809180049,69.22685240824092,113.17,112.44,104.58
2000-12-21,113.02,113.2,111.93,112.61,0,113.445106656892,111.6695,109.893893343108,63.61656966646568,113.2,111.93,104.58
2000-12-22,112.62,112.84,112.2,112.75,0,113.56698870519878,111.752,109.93701129480121,64.69501689582407,112.84,112.2,104.58
2000-12-26,113.46,114.37,113.38,114.21,0,113.95652713207984,111.93400000000001,109.91147286792018,73.51251664732003,114.37,113.38,104.58
2000-12-27,114.2,114.62,113.92,114.4,0,114.35382749398117,112.0895,109.82517250601883,74.40828211523629,114.62,113.92,104.58
2000-12-28,114.39,114.96,114.26,114.76,0,114.77010295669712,112.269,109.7678970433029,76.06026855045467,114.96,114.26,104.58
2000-12-29,114.77,115.05,114.22,114.41,0,115.04218101498992,112.43249999999998,109.82281898501003,71.24509199397104,115.05,114.22,104.58
